name,price
Эмаль КО-813 серебристо-серая до +500°С (ГОСТ 11066-74) в Краснодаре,300
Эмаль КО-8101 серебристо-серая до +600°С (ТУ 6-10-959-75) в Краснодаре,370
Эмаль ЭП-1236 1К (ГОСТ 23143-83) в Краснодаре,235
Эмаль КО-811 до +200°C (+400°С) (ГОСТ 23122-78) в Краснодаре,225
Краска МА-22 (ГОСТ 10503-71) в Краснодаре,145
Эмаль ЭП-51 (ГОСТ 9640-85) в Краснодаре,320
Эмаль ХВ-124 (ГОСТ 10144-89) в Краснодаре,200
Эмаль ХС-436 (ТУ 20.30.22-002-83706890-2008) в Краснодаре,320
Краска-эмаль АК-511 (для дорожной разметки) (ГОСТ Р 52575-2006) в Краснодаре,170
Эмаль ПФ-133 (ГОСТ 926-82) в Краснодаре,175
Краска МА-15 сурик (ГОСТ 10503-71) в Краснодаре,145
Эмаль ПФ-115 цветная ЭКОНОМ (ГОСТ 6465-76) в Краснодаре,115
Эмаль ЭП-140 1К (ГОСТ 24709-81) в Краснодаре,210
Краска МА-25 (ГОСТ 10503-71) в Краснодаре,145
Эмаль МЛ-12 (ГОСТ 9754-76) в Краснодаре,240
Эмаль ХС-759 1К (ГОСТ 23494-79) в Краснодаре,260
